,i
.C7 1963,1
B3 1873,1
M87p 1876,1
M33 2019,1
.S625 1881,1
.F43 1786,1
.D38576 1905,1
.R67 1901,1
Z56 1962,1
.T4 1958,1
J64 1894 c.2,1
.V86 1882,1
.B7 E84 1973 c.2,1
.H564 1899,1
.H55 1898,1
.R59 1932,1
W44 1901,1
N44 1860,1
.H6 1905,1
R44 2001,1
F67 1872,1
.B37p 1863,1
.C73 1978,1
P13 1884,1
P5 1863,1
.D75 1847,1
.A6 1850c,1
A36 1915,1
.B3545 1925,1
.W44 1929,1
A8115 1921,1
.A845 1884,1
P83 1969,1
.D3646 1902,1
A4 1891b,1
F57 1895,1
S256 1878,1
.L58564 1850,1
L69 1981,1
.M6 1905,1
G46 1899 c. 2,1
B67 1960 c.2,1
N52 1884,1
.B39 1912,1
.C538 1892,1
C76 1916,1
P64 1864,1
.D4686 1936,1
.H44 1983,1
.T69 1800z,1
M87 1875p c.1,1
.W43457 1927,1
.R96 1897,1
.B44 1844,1
N48 1918,1
.S5337 1975 Suppl.1,1
P43 1965,1
C88 1846,1
L4343 1886,1
.A93 1919,1
.C643 1980,1
S77 1830,1
.H3786 1900zb,1
.B855 1875,1
.C3776 1974,1
N45 1938,1
.W356 1934,1
C89 1896,1
.O83 1971,1
.L535 1912,1
.C355 1908,1
.P7564 1887,1
.E83 1983,1
.K477 1904b,1
.A633 1904b,1
P37 1850p,1
F57 1955,1
.N35 1929,1
K29 1914,1
S664 1941,1
.U6 1968,1
L3 1895,1
.S6776 1964,1
G68 1983 c.1,1
S26 1986p,1
.B982 1778,1
C3 1857,1
.S59 1998,1
S75 1867,1
U54 1893,1
I5 1890,1
.C3774 1874,1
R73 1860,1
.D88 1902,1
P74 1939,1
.T53 1895,1
.C763 1923,1
S68 1898,1
J37 1958,1
.W3553 1925,1
T86 1997,1
M4 1825,1
.S625 1938,1
.M55 1948,1
D74 1887,1
.S53476 1922,1
G87 1988,1
H66 1897,1
.P455 1913,1
.H43 1882,1
N5 1945 c.1,1
C36 1900z,1
G67 1908,1
.B3792 1917,1
.H378 1903b,1
B823 2008,1
.L395 1937,1
.W323 1958,1
L49 1924,1
A8 1870,1
.T4773 1894,1
.D4336 1893,1
.B694 1900z,1
.F668 1853,1
S68 1893,1
.L355 1909,1
L8 1917,1
.B5455 1871,1
B25 1982,1
T96 1836,1
C47 1969,1
.F67333 1900z,1
.B3796 1964,1
E4 1885,1
.G533766 1869,1
B76 1848b,1
W55 1947,1
P74 1887,1
.W386 1953,1
.W384 1937,1
.L4444 1900z,1
.B37 1967 c.1,1
.S53476 1910,1
.B8773 1923,1
C97 1902,1
O73 1851,1
S3 1900,1
.P356 1889,1
.C36 1920,1
.B76 1850,1
.B97 1889,1
.M8556 1959,1
R87 1913,1
.D464 1913,1
.K55 1973,1
.W4636 1904,1
.P43 1823,1
.L47 1824,1
N,1
.W3556 1879,1
.O7 1921,1
N67 1875,1
.T6967 1883,1
N37 1869,1
.G757 1930,1
O42 1927 c.3,1
.W4 1906,1
.B48 1898,1
P2 1911,1
W24 1877,1
.B55 1977,1
.T4739 1890,1
.D49 1878,1
.B364 1916,1
.P35 1882,1
F86 1861 c.1,1
.R496 1975,1
A4 1939,1
.S639 1958,1
.M33 1982,1
.A656 1979,1
.S3 1941,1
P65 1879 c.3,1
B74 1975,1
S76 1901,1
I5 1893,1
H9 1988,1
.N48 1978,1
.S954 1916,1
M56 1900z,1
L54 1875,1
N58 1979p,1
.M334587 1938,1
H57 1823 c.2,1
.H67 1954,1
.W574 1890,1
.M328387 1900z,1
.R3967 1955,1
L48 1877,1
.D3846 1962 suppl. III,1
.B77 1882,1
D63 1964p,1
F74 1882,1
C616 1950,1
.H66 1852,1
H35 1903,1
R477 1856,1
R3 1958,1
.H6645 1976,1
.M434 1877,1
.T734 1908,1
.M5557 1896,1
G97 1902,1
.D596 1900z,1
R63 1931,1
.J35 1926,1
.D634 1879,1
.B4776 1914,1
A73 1910,1
.V354 1937,1
.Z33 1961,1
.H355 1954,1
L49 1902,1
.C6954 1931,1
.N54 1875,1
.N37 1932,1
.I79 1938,1
.S245 1878,1
.L4774 1944,1
.C685 1941,1
M57 1859,1
B52 1990 c.1,1
.M3437 1885b,1
.W464 1906,1
.D749 1942,1
E4 1885 index,1
H64 1856,1
G6 1881,1
F34 2013,1
C46 1867,1
E39 1937,1
.P345 1869,1
S68 1910,1
B9 1876,1
D4 1968,1
.H698 1939b,1
.P756 1895,1
S56 1941,1
.F537 1981 Suppl. 1986,1
L63 1872p,1
.V43 1913,1
.T366 1910,1
.B4592 1915,1
.W65 1900z,1
N66 1875,1
R47 1864,1
.G754 1881,1
F6 1965,1
.B76 1895 c.2,1
G33 1976,1
P74 1891 c.2,1
.D373 1903,1
.C763 1928,1
A18 1877,1
.R544 1906,1
D4 1945,1
.H93 1914,1
C99 1978,1
M48 1953,1
.P676 1896b,1
.B384 1943,1
L66 1899,1
.M68 1890z,1
F74 1921,1
.A5588 1892,1
.D17 1867,1
F21 1900 c.2,1
S43 1974,1
.B76 1900 c.1,1
.E956 1930,1
F37 1872,1
.P7563 1898,1
.P738 1874,1
.C6 1955p,1
.L49 1929,1
B4 1806,1
B77 1841,1
.M665 1900z,1
.T73 1916,1
S74 1833,1
.W5555 1900z,1
C65 1976,1
.A44 1988,1
.H337 1887,1
S35 1957,1
.R66 1915,1
.M4 1951,1
.M33454 1901,1
.A554 1910,1
.D633 1908,1
E28 1982,1
.M327349 1902,1
A17 1967,1
A3p 1915,1
.S76 1879,1
.K4 1987,1
.B868 1895,1
J6 1903,1
.V365 1900,1
P747 1929,1
.A2 1943,1
.C363 1857b,1
.H39 1903,1
.E4394 1900b,1
D57 1907,1
.A97 1887,1
.B4556 1888,1
M379 2007,1
.R5365 1900z,1
G65 2010,1
A243 1942,1
.S53 1907,1
B76 1875,1
A72 1801,1
.P74 1895,1
S5 1983,1
.R63 1812,1
.H6766 1979,1
T43 1991,1
M36 1882,1
B76 1907,1
.N6 1865,1
C44 1868,1
.C83 1886,1
.B875 1928,1
.P43885 1906,1
.W45 1862,1
.E333 1889,1
S7 1841,1
.M336 1929,1
.C7695 1922,1
.F85,1
G74 1905,1
.H8678 1969,1
H46 2006,1
S36 1912,1
.M665 1957,1
.H366 1913,1
.A1 1910,1
.S7445 1900,1
D38 1941,1
H2 1907,1
.P4375 1892,1
.M8677 1897,1
.S5468 1897,1
.S26 1915,1
K56 1903,1
.H566 1946,1
A226 1934,1
.R5 1948,1
.M328385 1962,1
.S625 1915,1
.M64 1916,1
A266 1930,1
H47 1886b,1
O64 1903,1
T75 1871,1
.P6 1969,1
P39 1905,1
.M36 1824,1
.A5 1896,1
.P85 1988,1
.L68 1946,1
.D398 1848,1
B37 1859,1
.B4 1902,1
D87 1995,1
.E43557 1893b,1
.P76 1867,1
.F5 1913,1
.C7 1946,1
.K48 1939,1
L66 1960z c.2,1
.S6775 1921,1
.V36378 1932 c.1,1
B36 1903,1
.F73 1948,1
.R839 1967,1
S23 1954,1
.S2637 1902,1
J5 1911,1
H35 1933,1
.M393 1888,1
W67 1954,1
.T395 1800z,1
.H64 1915,1
.C6 H364 2019,1
.W3845 1891d,1
A53 1867,1
S53 1887,1
.H6775 1876,1
.L56 1928,1
.K566 1855,1
.G7684 1915,1
.S87 1896,1
.S4534 1941,1
.N37 1902,1
S84 1988,1
.R6556 1896,1
.D29 1872,1
.G7 1789,1
.W5675 1911,1
.C3774 1919,1
.C37778 1883,1
.F53 1950,1
.B3525 1909,1
D88 1913,1
R65 1989,1
.C437 1862b,1
N36 1929,1
.H393 1989b,1
B56 1887 c.2,1
.D4665 1880,1
.B522 1886,1
M34 1946,1
C47 1971,1
.P46 Suppl.,1
.L967 1901,1
W37 1839,1
.N498 1875,1
.R45 1934,1
.A84 1906,1
J52 1982,1
.A54 1889,1
.B4364 1907,1
.W667 1856,1
H4 1909,1
C43 1828 c.1,1
M49 1868,1
.M5554 1900za,1
.H665 1892,1
.B352 1929,1
I57 1923,1
.R8185 2017,1
J64 1832,1
M44 1917,1
.J44 1774,1
C43 1882 c.2,1
.P7 1980,1
C67 1900zp,1
.P7585 1894,1
G68 1811,1
.E95 1778f,1
W35p 1980,1
M3 1958,1
L46 2010,1
D39 1991,1
V35 1981,1
.G3 1954,1
B8 1981,1
O65 1903,1
F75 1931,1
E55 1879,1
.J67 1875,1
B44 1894,1
.L368 1931,1
.R6348 1904,1
.H68 1885,1
.S85 1893,1
A4 1867,1
.S5337 1903,1
R7 1834,1
.B37 1983,1
.A632 1889,1
.D4686 1940,1
.E9474 1939,1
.L673 1927,1
.M437 1873,1
1867,1
.E3376 1915,1
T68 1856,1
.K46 2001,1
E44 1903,1
.B77 1895,1
.C36634 1878,1
.A84 2010,1
.N49 1905,1
A25 1900,1
.M5554 1928,1
.J64 1846,1
A76 1877,1
.H424 1917,1
.Z63 1942,1
.H335 1859,1
M9 1844,1
.C66765 1964,1
.C88 1887,1
.K28 1968,1
.H694 1914,1
.H37656 1800z,1
N533 1863,1
A93 1999,1
M87 1995,1
P35 1994,1
.F737 1906,1
S4 1927,1
A292 1932,1
.L4366 1904,1
.C7362 1995,1
R85 1901,1
.F57 1970,1
.C6544 1894,1
.B43883 1936,1
.B56 1731,1
.H355 1900zb,1
.W384 1892,1
.R64 1885,1
.M3348 1912,1
.G7368 1900z,1
G54 1990,1
.T52 1916,1
A3 1838b,1
.M566 1930,1
B3 1977p,1
N58p 1969 c.2,1
.G45 1864,1
G63 1883,1
.R66 1904,1
.F336 1995 c.1,1
.M4737 1906,1
.S783 1954,1
.W3854 1906,1
.N495 1934,1
.M5554 1848,1
.N696 1928,1
P95 1956 c.1,1
.N5e45 1982,1
.K464 1955,1
.C35465 1900z,1
E6 1862,1
P742 1860,1
P75p 1872,1
.S53473 1907,1
.V667 1877,1
E93 1915,1
.M668 1950,1
C45 1931,1
A72 1912 c.23,1
O425 1978 c.3,1
.F58 1990,1
B79 1895,1
Q4 1911,1
.U56 1904,1
T8 1941,1
R634 1938,1
K56 1986,1
.S69 1908,1
.C5677 1950,1
H63 1999 c.1,1
.W4656 1873,1
D5 1913,1
.A285 1959,1
.P3754 1913b,1
.W464 1889,1
.C6555 1958,1
.S73 1972,1
.T16 1908,1
C73 1902,1
P64 1842,1
R66 1924,1
.F573 1995 c.2,1
C65 1888,1
S718 1942,1
M48 1957 c.1,1
R676 2004,1
.B7353 1889,1
N43 1858,1
.T734 1936b,1
.R877 1910,1
.G89 1854,1
.M433 1901,1
.P4377 1921,1
.A336 1905,1
.D865 1922,1
R63 1991,1
B87 1926,1
T44 1970p,1
T75 1891,1
M33 1907,1
.H6885 1959,1
.G857 1948 Index,1
.R495 1896,1
H8 1854,1
.R67 1900,1
.J83 1931,1
.A76 1944,1
.F87 1974,1
.B8733 1925,1
.S21 1812,1
H65p 1876 c.2,1
I57 1971,1
.T888 1800z,1
S65 1842,1
.Y686 1907,1
I5 1941,1
F66 1886,1
M67p 1950,1
A53 1905 c.2,1
.B683 1944,1
M55 1966,1
A1 1893,1
.G737 1940,1
F762 1883,1
.B57 1967,1
S25 1970 c.2,1
C68 1948,1
B78 1926,1
.M327385 1900,1
C47 1867,1
A33 1880p,1
J365 1912,1
.K54653 1880,1
.D67 1967 c.1,1
.P43365 1957,1
.O75 2013,1
.S12 1858,1
D37 1829,1
.A57 1899,1
.S6766 1871,1
.A46 1984,1
.F856 1932,1
.H3936 1889,1
.B69 1931,1
.O966 1973,1
.C667 1935,1
.H3764 1855,1
.M3536 1940,1
M45 1950 c.1,1
.S5343 1901,1
.S338 1900z,1
.A6 1850d,1
.S2744 1895,1
.B476 1954,1
C54 1940,1
H33 1941,1
P37 1863,1
C66 1868,1
.W56 1976,1
.G76 1908,1
.S767 1965,1
.S636 1907,1
W56 1934,1
N58 1857b,1
.P6947 1924,1
.R6368 1930,1
.J66 1894,1
W43 1995,1
N583 1952 c.2,1
.H355 1920,1
A8 1928,1
.B3764 1906,1
.M3235 1955,1
A25 1855,1
.N77 1969,1
G88p 1967,1
.W3735 1929,1
N38 1978,1
S76 1882,1
.D348 1938,1
.B8551 1907,1
.B763p 1892 c.1,1
C36 1928,1
.J79 1922,1
L88 1969,1
A53 1924 c.2,1
.D73 1962,1
A8 1944,1
.C64 1856,1
.F33 1881,1
.T67 1971,1
1895 N49 c.1,1
O97 1918,1
F37 1848,1
.S93 1866,1
S73 1974,1
H35 1972,1
.J33 1895,1
H37 1895,1
W34 1977,1
.H378 1920,1
.D34 1979,1
.F537 1981 Suppl. 1999 pt.2,1
.B77 1989,1
C457 1899,1
G73 1955 c.4,1
.B455 1916,1
S8 1842,1
B45 1887 c.4,1
B76 1970p,1
.E69 1874,1
.O79 1885,1
.S625 1910b,1
.B65883 1884,1
S76 1880,1
.S5339 1897,1
.A243 1961,1
.K46649 1884,1
.H65 1877,1
J64 1901,1
P56 1917,1
.C36687 1898,1
M49 1927,1
.B895,1
V584 1908,1
.B766 1969,1
.R685 1894,1
F36 2004,1
.T749 1972,1
B75 1985 c.5,1
.H653 2001,1
.V36335 1957,1
.T473 1885,1
.H633 1897,1
.W48 1896,1
.P335 1941,1
A5 1904,1
H45,1
M48 1957 c.2,1
C37 1902,1
.L585 1867,1
B87 1978 c.2,1
.N53 1923,1
.G78 1860,1
.M374 1928,1
.B3785 1928,1
.B6789 1890,1
A256 1900z c.1,1
.D76 1893,1
.S76 1865,1
.B445 1956,1
.E3 1867,1
.V355 1906,1
S68 1964,1
.P43634 1912,1
.M55 1866,1
.C35 1929 c.1,1
.H467 1905,1
.P88 1909,1
.T395 1892,1
.C87375 1913,1
.V24 1902,1
R5 1773,1
B76 1835,1
.A336 1943,1
.C458 1882,1
.G537 1940,1
.K453 1950,1
A5 1886 c.1,1
C465 1924,1
F75,1
.S79 1970,1
.B749 1982,1
.W368 1878,1
N8 1846,1
R8 1969,1
W37 1873,1
.E3376 1901,1
.F6954 1888,1
S77 1908 c.4,1
.B6921 1924,1
S2 1688,1
G7 1897,1
B63 1912,1
.J6467 1897,1
S6 1891,1
A83 1927,1
.F855 1956,1
.W46638 1890,1
.S6588 1922,1
.P39 1892,1
.H386 1917,1
.S296 1913,1
B55 1906,1
B76 1983,1
A245 1936,1
.M6749 1916,1
S72 1984 c.2,1
C79 1855,1
.C66 1893,1
T74 1892,1
.S625 1889,1
R44 2008,1
.S549 1969,1
.B87 1956,1
.N696 1899,1
.B9 1904,1
.G56 1973,1
R53 1848,1
C73 1914,1
R82 2012,1
S76 1946,1
.U54 1900,1
.P397 1937,1
.R3746 1921,1
B87 1851,1
H86 1790,1
.W5,1
.T395 1928,1
.W3566 1888,1
.G7454 1914,1
.C45 1923,1
.B96 1911,1
.H553 1909,1
A65 1982,1
.P4367 1903,1
I58 2010,1
.F537 1981 Suppl. 1989,1
.R486 1875,1
.R843 1896,1
.W444 1914,1
.H19 1886,1
.L68 2012,1
S354 1904,1
.A2 1884,1
.C548 1885b,1
.C488 1894,1
M55p 1970 c.2,1
.T637 1936,1
.N476 1959,1
.W377 1874,1
R35 1893,1
.C4367 1891,1
.G53446 1896,1
B76 1944,1
.K547 1800z,1
A3 1930 c.2,1
.H3935 1939,1
F37 1860,1
.B87 1846,1
B7 1975,1
.S625 1900z,1
.C6557 1956,1
.W43557 1900,1
.S546 1931 c.2,1
H67 1906,1
.N493 1984,1
V59 1877,1
.A3 1849c,1
.G7368 1885,1
.R64 1897,1
.F458 1886,1
.R5 1931a,1
.S766 1926,1
.M6776 1899,1
.P85 1856,1
.S65 1903,1
.P656 1884,1
K53 1967 c.1,1
T73 1909,1
.F385 1952,1
D8 1894,1
H8 1976 c.2,1
J33 1953,1
F58 1905,1
S84 1880,1
.F478 1925,1
B43 1891,1
.C69 1899,1
P645 1892,1
.M877 1918,1
.E44 1888,1
T67 1942,1
.P4375 1907,1
.M327 1936,1
H57 1952,1
L66 1900z,1
.G674 1902,1
.A37 1900z,1
U54 1967,1
F76 1897,1
E84 1914,1
.C6 1964,1
.T569 1851,1
.W3566 1909,1
.L54 1910,1
.C89 1891 c.2,1
O26 1970,1
.B3757 1891,1
.S7384 1897,1
.W75 1899,1
.C853 1923,1
1868 .A4,1
T9 1977,1
L69 1925,1
P36 1904,1
.D664 1900z,1
.K65 1910,1
.S86 1957,1
S73 1990 c.2,1
B76 1800z,1
M3 1976 c.2,1
.B5161 1954,1
.S38 1975,1
.N635 1980,1
.H45 1974,1
.B525 1904,1
M56 1905,1
.B7P5 1941,1
.B353 1896,1
.K56 1882p,1
.M327387 1915,1
.O83 1891,1
G73 1902,1
.M32665 1897,1
.L91 1807,1
G67 1972,1
.B6938 1800z,1
.G66375 1918,1
.F3 1976,1
L3 1970,1
.W5685 1927,1
.B558 1900z,1
.H555 1887,1
.S396 1908,1
.M6 1921,1
M46 1852,1
.M8675 1880,1
.C6657 1950,1
H25 1882 c.2,1
.B445 1873 c.1,1
.E5 1899,1
P67 1973,1
.K54676 1974,1
.S72 1893,1
.B712 1932,1
.J34 1836,1
.J46 1901,1
.L66 1864,1
.W35 1894,1
B76 1853,1
.W75 1923,1
L66 2003 c.2,1
.P685 1921,1
S65 1913,1
.S5366 1968 Index 1976,1
C47 1858,1
.P44 1988,1
A65 1987,1
.T4765 1911,1
.A54 2002,1
.T395 1923,1
C47 1955,1
.B55 1890,1
.P696 1908,1
W43 1894,1
I576 1915,1
.P6755 1898,1
M63 1899,1
.M64 1580,1
M49 1911,1
.E75 1995 c.2,1
.N58 1885,1
.P43345 1976 c.2,1
.M433 1972,1
.C765 1887,1
.P43589 1953 Suppl.2,1
.P758 1919,1
.B477 1884,1
.T4739 1907,1
.F54 1849,1
.G3733 1927,1
U55 1876 c.2,1
S552 1878,1
P76 1884,1
S49 1902,1
.S45 1927,1
.T353 1882,1
L56 1865,1
W5 1807,1
S54 1887,1
W66 1962 c.2,1
N58r 1973,1
.M6778 1907,1
.N5 1950,1
M66 1818,1
.W68 1974,1
.E356 1892,1
N67 1907,1
.E435568 1883 c.2,1
.S5347 1900z,1
.M396 2005,1
.P34 1890z,1
H33 1956,1
.D4 1962,1
.H8 1952,1
L8 1969,1
.L5 1806,1
O97 1886,1
I544 1955,1
.P55 1884,1
.D453 1912,1
.M39 1894,1
.H65486 1902,1
S7 1971,1
.M678 1894,1
C43 1887 c.1,1
.R384 1937,1
G85 1885,1
M38 2014,1
.R5344 1897,1
.T35 1900z,1
.S7684 1927,1
A8 1970,1
.C4375 1956,1
.B683 1921,1
.F81 1854,1
.A28,1
.H26 1897 vol. 1,1
.R694 1904,1
.N38 1897,1
.T45 1900,1
R58 1967,1
.W54 1925,1
.M85 1962,1
.J65 1893,1
.L8 1976,1
G55 1910,1
.A544 1932,1
.K35 1889,1
.W39 2005,1
.C667 1870,1
R85 1950z,1
.P76 1890 c.4,1
I68 1805,1
.H4556 1909,1
B46 1980,1
.P738 1916,1
.S3978 1912,1
.M334366 1973,1
.T878 1937,1
.R468 1885,1
M39 1907,1
.T743 1951,1
.P4555 1910z,1
J64 1908,1
.W3857 1000z,1
T59 1903,1
R66 1987,1
P73p 1975,1
.Z43 1905,1
.A6 1925,1
.U57 1975 c.2,1
.D6 1980,1
.C87379 1970,1
.L2 1879,1
.S4 1963,1
.R374 1900z,1
.V47 1854,1
.E885 1903,1
G8 1874,1
.B35 1948,1
.S7673 1925,1
.S636 1900zb,1
.T4 1928 Index,1
C66 1939,1
.S9 1973,1
.D72 1872,1
.N4 1945,1
.A24 1894,1
.T8885 1898,1
B7 1958,1
B37 1883,1
.F5375 1896,1
D6 1953,1
A8 1961,1
.B74 1980 pt. 2,1
.T4765 1928,1
.K674 1943,1
P93 1940,1
W3 1981,1
.B533 1900,1
S6 1919,1
.N4944 1915,1
.P34 1915,1
R47 1942,1
.R496 1920,1
.S53577 1975,1
F57 1937,1
V66 1965,1
.R443 1912b,1
.C64 1671,1
.B3553 1911b,1
.G5363 1933,1
.H3674 1900zb,1
.S65 1865,1
.F698 1915,1
O94 1982 c.2,1
.L4 1869,1
.T877 1910,1
.N678 1921,1
.H6 1910,1
.W66334 1912,1
B65 2015,1
L47 1700z,1
F9 1958,1
.C4376 1990,1
.D569 1876 c. 1,1
H68 1909,1
I573 1907,1
.K57 1860,1
.S53366 1905,1
.B44 1885b c.2,1
.G75 1943,1
.H3979 1950,1
.S625 1890b,1
.V58 1959,1
.H6 1820,1
C47 1894,1
.B476 1891,1
.G44 1937,1
S67 1868,1
.D397 1874b,1
.R6745 1906,1
.K42 1976,1
.D8643 1907,1
.G7343 1908,1
.P4375 1895,1
A3 1895,1
B56 1887 c.1,1
.G6639 1958,1
.S774 1882,1
.S625 1941,1
S797 1961,1
.S5468 1887,1
.G685 2011,1
.F767 1852,1
.L36 1923,1
E3 1910z,1
.H555 1895,1
S78 1866,1
.K468 1904,1
.N8 1917,1
L4 1989,1
.N6786 1882,1
.S7384 1917,1
E2 1928,1
B48 1994,1
G7 1856,1
T48 1996,1
.S625 1928,1
F67 1848,1
.C5 1749,1
.H694 1911b,1
.M57 1984,1
.A2 1875b,1
.F5 1748,1
C45 1880 c.2,1
G523 1973,1
.K556 1888,1
.H36275 1939,1
.R44 1966,1
P43 1901,1
.B69 1948,1
.W69 1885,1
.U575 1971,1
T27 1976 Suppl.,1
.P44 1905,1
H43 1959,1
.C88 1883,1
.D363 1890,1
J67 1973,1
.H44 1911,1
.W27 1960,1
.H355 1913,1
B53 1966,1
I5 1892,1
.B355 1974,1
.S68 1971,1
.H3885 1914,1
.M6635 1900z,1
.M32665 1902,1
.W433 1954,1
.H855 1907,1
A3 1968,1
T73 1924,1
S55 1887,1
.P386 1908,1
I57 1911,1
A15 1931,1
.B8771 1877,1
G5 1975,1
S53 1912,1
.W378 1937,1
.S44 1861,1
.M5554 1929b,1
.C6 1830,1
1930,1
T46 1871,1
.H86 1890 Index,1
.T468 1934,1
F5 1915,1
T72 1983,1
.L66 1975,1
.F746 1910,1
.A34 1936,1
.H36263 1909,1
.W43557 1878,1
S43 1857,1
B48 1886,1
.H55 1906,1
N47 1882,1
L6 1929,1
B75 1929 c.2,1
A73 1966,1
.B467 1872,1
G37 1973,1
M39 1975p,1
.B85 1885,1
.F855 1900z,1
.W9 1955,1
.S2744 1858,1
S77 1856,1
.B371 1879,1
.L95 1975,1
W53 1939,1
S96 1893,1
.S5458 1917,1
S53 2006,1
.F698 1908,1
A238 1935,1
.B384 1892,1
.S37 1971 Suppl.,1
W55 1942,1
F73 1950,1
.N49 1981,1
.D5 1999,1
W94 1978,1
.G6 1967,1
.U62 1973,1
.R42 1942,1
.M6637 1911,1
D53 1945 c.3,1
B7 1885,1
.R6749 1901,1
.L64 1923,1
M35 1877,1
A55 1924,1
W35 1899,1
.T55 1860,1
R454 2005,1
.S53576 1973,1
H57 1994,1
C464 1900z,1
S47 1886 c.2,1
C73 1915 c.1,1
M33 1965,1
B85 2017,1
A66 1869,1
F56 1987,1
P75 1996 c.2,1
.P586 1904,1
A4 1980,1
.M52 1968,1
.G52 1962,1
.N6765 1901,1
.P37 1940,1
.S4534 1931,1
F56 1948,1
.C7399 1888,1
Z465 2005,1
.B47 1866 c.1,1
.D7 1737,1
L43 1972p,1
J64 1898,1
D9 1878,1
.F58p 1897,1
.S53585 1934,1
.A865 1933,1
A26 1876,1
.H3454 1951,1
.B77 1970,1
.H46 1917,1
J79 1880,1
.R694 1926,1
.V766 1949,1
.C5375 1954,1
.J63 1995,1
.N534 1910,1
E6 1966,1
C67 1890,1
L5 1973,1
.B65881 1918,1
D63 1990,1
.P4 1958,1
.S677 1905,1
A1 1873,1
R87 1919,1
.B7355 1900,1
.B74 1980 pt. 1,1
.P37767 1956,1
.B3764 1891,1
.H86 1916,1
.K68 1931,1
.A46 1917,1
.B3774 1900,1
.P48 1961,1
.E26 1968,1
R425 1972,1
M37 1929,1
M8 1908,1
B759 1929,1
.H3785 1885b,1
.G36 1922,1
.L96p 1938,1
M66 1860,1
U85 1932,1
G47 1971,1
.C67 1978,1
.A76 1887,1
B76 1943,1
.F543 1875,1
.N8 1657,1
.C76945 1913b,1
.S7874 1926,1
J6 1949,1
.L5846 1880,1
.S396 1917,1
D68 1901,1
.S5667 1872,1
L3 1979,1
.G7457 1913,1
E45 1901,1
P3 1836,1
.K777 1916,1
.T6967 1899,1
.P548 1904,1
.N38 1933,1
.J37 1939,1
.N67 1915,1
C65 1934,1
.W4334 1878,1
.N41 1675,1
.B338 1909,1
R47 1862,1
J33 1886,1
.S7635 1800z,1
.K4559 1900,1
.S625 1902c,1
.J646 1905,1
.S7476 1894,1
.C5464 1928,1
C56 1995,1
C57 1870,1
.K43 1978,1
T55 1984 c.1,1
.M49 1935,1
.T7 1918,1
L43 1990,1
.A43 1979,1
.L44 1900,1
B44 1979,1
.W47 1969,1
N586 1857 c.2,1
.B739 1800z,1
.W4378 1912,1
S76 1786,1
.H64 1922,1
C65 1931,1
A263 1946,1
.S4 1927,1
R6 1960,1
.S7634 1911,1
.N58 1854,1
P75 1997,1
.B465 1948,1
.P387 1933,1
.S273 1902,1
.U54 1961,1
.M649 1925,1
A27 1900z,1
.H37757 1899,1
A4 1917,1
.S56 1964,1
.W4664 1926,1
.B6 1923,1
G35 2002,1
S28 1997,1
.K4 1850,1
.W6638 1907,1
W43 1875,1
.L56 1929b,1
.K3 1960,1
.C7673 1900z,1
.G45 1848,1
.B384 1865,1
C88 1849,1
.W62 1893,1
B37 1975,1
.N38 2003,1
.B7391 1890,1
.H67 1895,1
N57 1908,1
.D46 1967,1
.H467 1899b,1
.M3 1937,1
S8 1938,1
.S36 1905,1
R44 1881,1
.W935 1905,1
W45 1929,1
.C48 1900,1
.H634 1938,1
P37 1862,1
.G8 1889,1
R63 1974,1
.B747 1900,1
.J494 1911,1
.L5845 1958,1
F577 1892,1
.M668 1897,1
T505 1899,1
.W457 1946,1
M8 1896,1
.S38 1985,1
H8 1866,1
.M33 1954,1
N3 1904,1
.T46 1879,1
F3 1904,1
B66 1876,1
.N52 1918,1
.D47 1888,1
.M327375 1910,1
F86 1861 c.2,1
C73 1983,1
B2 1907,1
.M42 1847,1
R53,1
M43 1915,1
.D35 1867,1
F35 1973,1
L9 1890,1
.G5353 1955,1
.C66767 1909,1
.H6327 1899,1
.B35 1912,1
.D663 1916,1
.F53 1898,1
.D5355 1978 c.1,1
.H6 1928,1
C46 1958,1
.B66 1900,1
.B475 1907,1
.P3754 1966,1
M55 1828,1
.B4677 1903,1
.W377 1895,1
.B66 2016,1
.S4554 1916,1
.B5423 1933,1
M47 1940 c.2,1
.P38 1871,1
.K54677 1935,1
M67 1910,1
M43 1971 c.1,1
.P4 1853,1
M36 1981 c.1,1
N49 1952,1
.M46 1905,1
B76 1960,1
W41 1936,1
.B467 1942,1
.S4976 1900z,1
.B384 1911b,1
S47 1893,1
C66 1970,1
I58 1894,1
.R533 1903b,1
.B443 1860,1
.M87 1937,1
.P63 1982,1
V57 1900z,1
.W3845 1883,1
W36 1898,1
V36 1890,1
.W679 1886,1
.B76 1949,1
.S86 1884,1
W673 2011,1
H45 1870,1
.S5368 1897,1
.S53476 1920,1
.N541 1913,1
N5 1904,1
.P48 1907,1
Z56 1932,1
.R5754 1909,1
G33 1907,1
.H69 1862,1
.K497 1857,1
.A8 1907,1
.C69 1859,1
.C45 1966,1
.C54 1980,1
.A6 1840,1
.H3796 1887,1
.H633 1912,1
.L4 1880,1
C66 1885,1
.M32737 1983,1
.L4444 1897,1
.B8725 1893 c.2,1
U46 1911,1
D37 1953,1
.C556 1902,1
.N4 1876,1
.M328386 1902,1
.A6 1889 c.2,1
.S6 1846,1
.L666 1908,1
.S292 1890,1
.F7571 1905,1
.K57 1848 c.1,1
.F855 1896b,1
A55 1949,1
.C36634 1910b,1
.M323656 1917,1
