,4
reclass from TG25.N53 M26p 1980;,2
reclass from NYS St46 N2705;,2
reclass from Vit. Rec. NYS Harrison;,2
reclass from Vit Rec CT Wilton;,2
reclass from Vit. Rec. NJ Woodbridge;,2
reclass from CT275.P56 u73 1956;,2
reclass from Vit Rec CT New Fairfield;,2
reclass from Census New York 1850;,2
reclass from Vit Rec NYS Elmsford;,2
reclass from Vit Rec NYS Esopus;,2
reclass from Am. Rev. L5465;,2
Reclass from L.I. D9515 c. 2;,2
reclass from Geneal. F's;,2
reclass from Arts D75 Sa975;,2
reclass from Census New York 1870 Long Island;,2
reclass from CT275.C484 M37;,2
reclass from CS71.C7296 1990;,2
Reclass from Vit Rec NYS Ridgebury;,2
reclass from Vit. Rec. NYS Hopewell;,2
reclass from geneal. P7615p;,2
reclass from NYS Sch28 An865;,2
reclass from Vit Rec NYS Wawarsing;,2
reclass from R/A An195;,2
reclass from L.I. P3855h;,2
reclass from Z1251.A8 P4;,2
Reclass from FOL NYC P8305f;,2
Reclass from TT25.D67;,2
reclass from Vit. Rec. NYS Middlefield;,2
reclass from HG2613.B764 W55 1910;,2
reclass from Vit. Rec. NYS Poughquag;,2
reclass from Vit Rec Cornwall;,2
reclass from CS71 .C323 1909;,2
reclass from PZ3.In45 Bu;,2
reclass from NYS W522 B5205;,2
Reclass from NYC In255;,2
reclass from CT275.C43 C45 1880;,2
reclass from NYS Y82 B2275;,2
Reclass from NYS C8125h;,2
reclass from NJ H4693t;,2
reclass from Fol. PN6101.N494 1883;,2
reclass from Am. Rev. M1965;,2
reclass from Vault H1115;,2
reclass from BX9861.B7 S43 1876;,2
reclass from Vit Rec NYS Tompkinsville;,2
Reclass from CS71.C124 1909;,2
reclass from PZ3.B729 Isl;,2
Reclass from Geneal. C;,2
reclass from Vault Ir85h;,2
reclass from Vit. Rec. NYS Lake Oscawana;,2
reclass from L.I. Sm69 Sm695;,2
reclass from vital records;,2
reclass from TH1655.M55 1932;,2
reclass from Vit Rec CT Easton;,2
reclass from NYS N4203 Se825;,2
reclass from geneal. W1472Lg;,2
reclass from NJ W5206 Ei2105;,2
reclass from Vit. Rec. NJ Mendham;,2
Reclass from Geneal. P3805L;,2
reclass from Vit. Rec. NYS Fishkill Plains;,2
reclass from NJ F6294 M8583;,2
reclass from NYS N4209 Au765;,2
reclass from L.I. T7145;,2
reclass from Vit Rec NYS Florida [N.Y.];,2
reclass from Geneal. CS71.W616 1855;,2
reclass from Vit. Rec. NYS Fishkill;,2
reclass from NYS Ut3 Ut305fm;,2
reclass from Geneal. W;,2
reclass from NYS P1975;,2
reclass from NJ T7243 T7244;,2
Reclass from Vit Rec NYS Saratoga;,2
reclass from Arts B5 M8385m;,2
Reclass from Geneal. Sco839p;,2
reclass from Am. Rev. Un35n;,2
reclass from geneal. P7715aap;,2
reclass from Vit Rec NYS Walton;,2
reclass from NYS On6 B3814;,2
reclass from NYS AL13 M9275an;,2
reclass from Vit Rec NYS Cairo;,2
reclass from FOL NYC;,2
reclass from geneal. S;,2
Reclass TH9505.B8 A3;,2
reclass from Vit Rec NYS Cold Spring;,2
reclass from Vit. Rec. NYS Oneida;,2
reclass from Am. Rev. C8215;,2
reclass from geneal. P or R;,2
reclass from Black Hist. AP845d;,2
reclass from Vit Rec NYS Schoharie;,2
reclass from Vit. Rec. CT West Stafford;,2
Reclass from HD5325.R1 1895 B7;,2
Reclass from PZ3 .B934 In;,2
Reclass from Z8971.5.F4;,2
Reclass from;,2
Reclass from Geneal. St545s;,2
reclass from E523.5 23rd;,2
DO NOT PRINT;,2
reclass from Vit. Rec. NYS Pine Bush;,2
Reclass from FOLIO NYS T17 D2495;,2
reclass from closed stack HF5667.6 .B76 1896;,2
reclass from DC111.B26;,2
reclass from Arts B5 P3135s;,2
reclass from Vit Rec Amenia;,2
reclass from Geneal. W1545we;,2
reclass from NYS C39 C3965;,2
Reclass from CS71.F986 1937;,2
reclass from Geneal.J7264j;,2
reclass from TA562.S65;,2
Reclass from BR560.B7 C55 1910;,2
reclass from NYS P861 R3345;,2
Spec. Coll.;,2
reclass from Geneal. An271aa;,2
Reclass from NYS N813 P4295;,2
reclass from Vit Rec CT Fairfield Co.;,2
reclass from NJ M5232 W9324h;,2
reclass from Vit. Rec. NYS Mexico;,2
reclass from E263.C5 M63;,2
reclass from NYS D9215;,2
reclass from NJ Sa3204 C8443se;,2
reclass from Vit Rec NYS Mt. Kisco;,2
reclass from NYS Se56 T7365;,2
reclas from Arts D4 N9795ft;,2
reclass from SI M8325;,2
reclass from NYS J7265;,2
Reclass from Folio NYS Sa72 Sy575e;,2
reclass from NYS N4208ca;,2
reclass from Geneal. no call number;,2
reclass from NYS Er46 W5855;,2
reclass from geneal. P4295b;,2
reclass from fol. Vault L3275;,2
reclass from NYS AL13 Su545;,2
reclass from Vit. Rec. NYS Lewisboro;,2
reclass from PZ3.C8519 Jan;,2
Reclass from L I So87 H8395e;,2
Reclass from S561.6.L8 K53;,2
reclass from Census Arkansas 1830;,2
Reclass from Vit Rec NYS Rye;,2
reclass from geneal. H1845hfs;,2
Reclass from Vit Rec NYS Seneca Co.;,2
reclass from Geneal. Sco839b;,2
Reclass from Ref. F129.B7 N58p 1973b;,2
reclass from NJ M8315 L5882h;,2
reclass from Vital Records NYS White Plains;,2
reclass from vit. rec. nys somers;,2
reclass from Vit Rec NYS Canaan;,2
Reclass from Z1231.A6 O5;,2
reclass from geneal. At955a;,2
reclass from Geneal. C;,2
reclass from Am. Rev. L5 R9815;,2
reclass from NYS On6 C5485;,2
reclass from NJ H1174 H5593;,2
Reclass from TX945.G74 1989;,2
reclass from NYS T75 T7595se;,2
reclass from NYS N512 Se835;,2
reclass from PS374.C454 R39 1918;,2
reclass from new books box 10;,2
reclass from Vit Rec NYS Poughkeepsie;,2
reclass from Geneal. C5484cr;,2
reclass;,2
reclass from NYC C7372;,2
Reclass from Vit Rec NYS Schroon Lake;,2
reclass from GV863.V6;,2
reclass from NYS Er46 Er465;,2
reclass from Z1215.S495;,2
reclass from closed stacks no call #;,2
reclass from Vit. Rec. NYS Portchester;,2
reclass from geneal. P1825pnf;,2
reclass from Am. Rev. L5125m;,2
reclass from NYS Sa725 Sa725t;,2
reclass from Census New York 1860 Kings County;,2
reclass from NYS B86 K4995;,2
reclass from Vit. Rec. NYS Oscawana;,2
reclass from Vit. Rec. NYS Farmington;,2
reclass from Arts B5 Sa255;,2
reclass from E184.G3 F3;,2
reclass from NJ T2566 T2566b;,2
reclass from NYS W522 B6395 1881;,2
reclass from Geneal. An885b;,2
Reclass from Black Hist. Un 95;,2
reclass from NJ M5347 L5117g;,2
reclass from PZ.H724 Sam 1914;,2
reclass from L.I. So87 So874;,2
reclass from F1.N643;,2
Reclass from Upstairs CT275.B4343 A2 1855;,2
Reclass from Geneal. Sk324h;,2
reclass from Am. Rev. M3425;,2
reclass from NYS T75 T7595fb;,2
reclass from L.I. Oy8 St765;,2
Reclass from R/A G5 1865;,2
reclass from NYS Or1 Se365;,2
reclass from NJ F3684 Sh823;,2
Reclass from R/A L8375;,2
Reclass from Vit Rec NYS Springfield;,2
Reclass from BX9531.B7 S6 1894;,2
reclass from Am. Rev. B8815;,2
reclass from Vit. Rec. NYS Peru;,2
reclass from Brooklyn Census;,2
reclass from geneal. Av355a;,2
reclass from Vit. Rec. NYS Guilford;,2
reclass from NYS On6 B8305;,2
reclass from Fol. Arts D1 H7855;,2
Reclass from Vit Rec NYS Schenectady Co.;,2
reclass from L.I. R1475;,2
reclass from NYS On8 M6215;,2
reclass from NJ P9357 H1215;,2
reclass from Geneal. Sco839r;,2
Reclass from Box 13;,2
reclass from Ref Desk;,2
Reclass from NYS Sa725 W1345;,2
reclass from Vit Rec NYS Walden;,2
reclass from HE2781.N7 C66;,2
reclass from geneal. St466so;,2
reclass from NYC H7555;,2
reclass from geneal. St673s;,2
Reclass from BX8076.N5 S33 1962;,2
reclass from NYS B86 L3265;,2
reclass from NYS H8675;,2
reclass from Am. Rev. L8995p;,2
