,j
1977.234,1
PAMP American-6,1
L.I.-1906.Fl,1
B A-1971r.Fl,1
1974.052,1
PAMP BRFAL-8,1
E-US-1815.Folded,1
2005.053,1
1985.086,1
PAMP AmCS-6,1
B P-[189-?]c.R,1
ARC.223,1
F129.B7 W56 2000,1
V1989.025,1
1977.280,1
M-1934.Fl,1
B P-1883.Fl.Folio,1
ARC.261,1
2009.008,1
E-US-1780 (1968).Fl,1
1991.040,1
PAMP Fuller-1,1
NYC-1860.Fl,1
Bergen-1903.Fl,1
PAMP GreenFH-1,1
B P-[1835].Fl.Folio,1
N.J. 1912(1960).Fl,1
B A-1766 (19--?).Fl,1
PAMP Howe-1,1
1973.178,1
1977.576,1
NYC-1876 (19--?).Fl,1
B A-[19--?]i.Fl,1
Q-[189-?].Fl,1
ARC.117,1
Bergen-[185-?]m.Fl,1
2016.003,1
IPOF E449.C86 1993,1
E-US-[1646] (18--).Fl c.2,1
2015.010,1
1977.349,1
L.I.-[1873]b.Fl,1
NYC-1975a.Fd.Folio,1
PAMP Equiano-1,1
"D.P.W.-1:24,000 (Bay Shore East Quad).R",1
PAMP Sentinel-1,1
L.I.-[1962].Fl,1
V1974.017,1
1978.138,1
ARC.131,1
1992.029,1
Lefferts PR4570.A1 1839b,1
PAMP JonesCC-1,1
B P-[184-?]c.Fl c.2,1
1973.225,1
B C-1986e.Fl.O,1
V1992.006,1
Bergen-1890c.Fl,1
1991.032,1
PAMP KennedyJP-2,1
V1990.017,1
PAMP Burmeister-1,1
PAMP WestonGM-3,1
Bergen-[18--?]cc.Fl,1
V1992.015,1
1973.182,1
1978.029,1
PAMP Cary-1,1
Bergen-[1896].Fl,1
L.I.-[1873]l.Fl,1
PAMP PhillipsW-2,1
B A-[1931?].Fl,1
PAMP TaftSH-1,1
2011.029,1
B A-1971h.Fl,1
Bergen-1892e.Fl,1
(88) L.I.-1944.A,1
1985.098,1
PAMP JohnsonEM-1,1
Pierrepont-[18--?]c.Fl,1
PAMP SewardWH-3,1
PAMP StillW-1,1
PAMP PalmerSL-1,1
ARC.043,1
PAMP Child-4,1
